easting,northing,elevation,zone,datum,name,type
247526.2289,1978763.971,167,48,WGS84,P1,ຈຸດ
247520.6527,1978730.02,167,48,WGS84,P2,ຈຸດ
247515.3641,1978693.301,167,48,WGS84,P3,ຈຸດ
247520.0605,1978688.664,167,48,WGS84,P4,ຈຸດ
247528.2166,1978658.963,167,48,WGS84,P5,ຈຸດ
247537.6796,1978658.125,167,48,WGS84,P6,ຈຸດ
247536.845,1978686.913,167,48,WGS84,P7,ຈຸດ
247530.463,1978688.146,167,48,WGS84,P8,ຈຸດ
247543.7313,1978757.386,167,48,WGS84,P9,ຈຸດ
247526.2289,1978763.971,167,48,WGS84,P10,ຈຸດ
247537.5858,1978658.424,167,48,WGS84,P11,ຈຸດ
247537.1217,1978687.22,167,48,WGS84,P12,ຈຸດ
247530.7131,1978688.306,167,48,WGS84,P13,ຈຸດ
247543.7925,1978757.582,167,48,WGS84,P14,ຈຸດ
247526.2256,1978763.974,167,48,WGS84,P15,ຈຸດ
247515.1112,1978693.358,167,48,WGS84,P16,ຈຸດ
247520.3134,1978689.247,167,48,WGS84,P17,ຈຸດ
247528.1403,1978659.439,167,48,WGS84,P18,ຈຸດ
